municipio,cp,densidad,2018,1900
Abiego,22001,6.20,237,1383
Abizanda,22002,3.36,151,463
Adahuesca,22003,3.27,172,725
Agüero,22004,1.38,130,1182
Aísa,22006,3.96,321,733
Albalate de Cinca,22007,24.91,1102,1519
Albalatillo,22008,19.78,181,464
Albelda,22009,13.88,721,1213
Albero Alto,22011,5.44,105,360
Albero Bajo,22012,6.34,141,205
Alberuela de Tubo,22013,14.86,309,238
Alcalá de Gurrea,22014,3.44,246,638
Alcalá del Obispo,22015,6.79,325,1328
Alcampell,22016,11.24,652,1983
Alcolea de Cinca,22017,13.93,1160,2409
Alcubierre,22018,3.14,363,1530
Alerre,22019,22.48,201,227
Alfántega,22020,14.49,127,309
Almudévar,22021,11.88,2394,2983
Almunia de San Juan,22022,18.33,654,954
Almuniente,22023,12.53,471,512
Alquézar,22024,9.14,296,1313
Altorricón,22025,43.47,1409,532
Angüés,22027,6.49,367,1912
Anso,22028,1.93,431,1549
Antillón,22029,6.64,149,393
AragÃ¼Ã©s del Puerto,22032,1.80,116,546
ArÃ©n,22035,2.66,318,2119
Argavieso,22036,10.66,96,322
Arguis,22037,2.05,129,570
Ayerbe,22039,16.29,1041,2609
Azanuy-Alins,22040,3.43,176,1221
Azara,22041,12.00,174,513
Azlor,22042,9.62,153,537
BaÃ©lls,22043,2.61,104,737
Bailo,22044,1.69,279,1488
Baldellou,22045,2.53,77,813
Ballobar,22046,6.44,823,2333
Banastás,22047,62.66,292,113
Barbastro,22048,158.35,16944,7301
BarbuÃ©s,22049,3.93,77,218
Barbuñales,22050,5.06,95,425
Bárcabo,22051,1.19,105,829
Belver de Cinca,22052,15.63,1292,1666
Benabarre,22053,7.04,1107,2887
Benasque,22054,9.25,2157,1598
Berbegal,22055,7.03,345,1109
Bielsa,22057,2.35,476,971
Bierge,22058,1.59,231,1581
Biescas,22059,7.82,1479,3509
Binaced,22060,19.81,1555,1774
Binéfar,22061,377.40,9435,1556
Bisaurri,22062,2.86,181,813
Biscarrués,22063,6.26,189,810
Blecua y Torres,22064,5.08,183,769
Boltaña,22066,7.07,986,1926
Bonansa,22067,2.30,86,421
Borau,22068,1.91,80,460
Broto,22069,4.14,531,1758
Caldearenas,22072,1.13,218,1483
Campo,22074,14.12,323,806
Camporrells,22075,5.12,137,997
Canal de Berdún,22076,2.40,321,2022
Candasnos,22077,2.58,317,1063
Canfranc,22078,7.43,532,770
Capdesaso,22079,10.23,174,490
Capella,22080,5.83,354,1008
Casbas de Huesca,22081,2.02,269,2195
CastejÃ³n del Puente,22082,12.38,315,621
Castejón de Monegros,22083,30.23,531,1594
Castejón de Sos,22084,42.88,753,813
Castelflorite,22085,3.10,108,247
Castiello de Jaca,22086,15.42,267,523
Castigaleu,22087,3.24,86,266
Castillazuelo,22088,11.03,169,757
Castillonroy,22089,8.30,312,863
Colungo,22090,2.80,114,702
Chalamera,22094,9.81,108,427
Chía,22095,3.30,86,602
Chimillas,22096,38.94,391,189
Esplús,22099,7.41,541,549
Estada,22102,12.85,204,524
Estadilla,22103,15.75,794,1752
Estopiñán del Castillo,22105,1.42,126,1486
Fago,22106,0.79,23S,419
Fanlo,22107,0.51,97,1065
Fiscal,22109,1.92,327,2505
Fonz,22110,16.77,870,2006
Foradada del Toscar,22111,1.62,173,665
Fraga,22112,34.22,14979,6934
La Fueva,22113,2.72,597,2691
Gistaín,22114,1.98,149,444
El Grado,22115,6.68,426,1605
Grañén,22116,14.13,1753,1431
Graus,22117,11.02,3305,6259
Gurrea de Gállego,22119,7.68,1476,1401
Hoz de Jaca,22122,6.10,76,160
Huerto,22124,2.51,218,970
Huesca,22125,325.77,52463,13683
Ibieca,22126,6.49,97,417
IgriÃ©s,22127,36.77,705,446
Ilche,22128,3.32,212,720
Isábena,22129,2.00,238,1246
Jaca,22130,31.53,12813,8964
Jasa,22131,11.50,92,467
Labuerda,22133,9.07,162,425
Laluenga,22135,5.31,194,794
Lalueza,22136,10.35,913,867
Lanaja,22137,6.56,1202,1839
Laperdiguera,22139,8.03,91,369
Lascellas Ponzano,22141,4.61,126,996
Lascuarre,22142,4.26,136,581
LaspaÃºles,22143,2.81,230,1065
LaspuÃ±a,22144,6.42,291,501
Loarre,22149,4.44,331,1771
Loporzano,22150,3.08,522,3139
Loscorrales,22151,2.63,106,371
Monesma y Cajigar,22155,1.17,73,513
Monflorite Lascasas,22156,13.82,403,452
Montanuy,22157,1.23,215,1395
Monzón,22158,110.05,17061,5037
Naval,22160,5.68,269,1550
Novales,22162,7.71,155,400
Nueno,22163,3.61,532,1249
Olvena,22164,3.14,50,384
Ontiñena,22165,3.89,533,1862
Osso de Cinca,22167,24.83,687,728
Palo,22168,1.87,27,288
Panticosa,22170,8.27,786,889
Peñalba,22172,3.98,622,1158
Las Peñas de Riglos,22173,1.15,251,2226
Peralta de Alcofea,22174,4.83,562,2207
Peralta de Calasanz,22175,1.90,219,2404
Peraltilla,22176,12.43,199,439
Perarrúa,22177,3.62,109,689
Pertusa,22178,3.74,110,705
Piracés,22181,3.89,98,242
Plan,22182,3.10,287,1124
Poleñino,22184,6.05,200,512
PozÃ¡n de Vero,22186,14.77,218,885
La Puebla de Castro,22187,21.84,372,887
Puente de Montañana,22188,1.91,93,822
Puertolas,22189,2.15,215,1049
El Pueyo de Araguás,22190,2.49,154,492
Pueyo de Santa Cruz,22193,33.79,314,420
Quicena,22195,29.26,283,259
Robres,22197,8.45,541,1064
Sabiñanigo,22199,15.75,9245,4884
Sahún,22200,4.00,294,871
Salas Altas,22201,14.85,308,998
Salas Bajas,22202,12.91,167,601
Salillas,22203,3.38,96,367
Sallent de Gállego,22204,9.02,1463,1420
San Esteban de Litera,22205,7.12,506,1532
Sangarrén,22206,6.79,219,509
San Juan de Plan,22207,2.73,152,361
Santa Cilia,22208,8.22,231,567
Santa Cruz de La Serós,22209,9.22,180,422
Santaliestra y San QuÃ­lez,22212,3.47,81,366
Sariñena,22213,15.12,4168,4029
Secastilla,22214,3.07,146,850
Seira,22215,2.17,150,311
Sena,22217,4.67,489,1071
SenÃ©s de Alcubierre,22218,1.99,41,143
Sesa,22220,5.41,167,881
Sesué,22221,23.73,127,360
Siétamo,22222,13.55,664,1584
Sopeira,22223,2.13,94,889
Tamarite de Litera,22225,31.90,3528,3517
Tardienta,22226,10.50,952,1531
Tella-Sin,22227,2.50,226,717
Tierz,22228,115.90,758,310
Tolva,22229,2.08,123,962
Torla-Ordesa,22230,1.60,298,988
Torralba de Aragón,22232,2.55,103,443
Torre La Ribera,22233,3.18,102,362
Torrente de Cinca,22234,20.22,1148,1382
Torres de Alcanadre,22235,3.24,92,499
Torres de BarbuÃ©s,22236,19.08,266,202
Tramaced,22239,6.42,99,111
Valfarta,22242,2.09,69,309
Valle de BardajÃ­,22243,0.74,34,221
Valle de Lierp,22244,1.40,46,212
Velilla de Cinca,22245,27.99,463,1089
Beranuy,22246,0.33,78,651
Viacamp y Litera,22247,8.43,36,820
Vicién,22248,22.55,116,374
Villanova,22249,7.68,159,279
Villanúa,22250,5.18,447,959
Villanueva de Sigena,22251,1.61,394,900
Yebra de Basa,22252,1.98,147,867
Yésero,22253,19.16,60,288
ZaidÃ­n,22254,3.57,1774,1907
Valle de Hecho,22901,5.40,839,2935
Puente La Reina de Jaca,22902,7.63,260,848
San Miguel del Cinca,22903,5.40,813,1922
La Sotonera,22904,3.09,894,3972
Lupiñén-Ortilla,22905,7.70,341,1138
Santa MarÃ­a de Dulcis,22906,7.55,208,644
AÃ­nsa-Sobrarbe,22907,3.93,2151,3680
Hoz y Costeán,22908,38.47,226,1390
Ababuj,44001,1.40,76,459
Abejuela,44002,0.56,49,698
Aguatón,44003,0.83,18,181
Aguaviva,44004,12.38,522,1781
Aguilar del Alfambra,44005,1.61,63,524
AlacÃ³n,44006,5.61,264,931
Alba,44007,2.56,178,634
Albalate del Arzobispo,44008,9.74,2004,4291
Albarracín,44009,2.24,1016,1932
Albentosa,44010,3.77,257,1003
Alcaine,44011,1.09,63,1103
Alcalá de La Selva,44012,3.30,347,1648
Alcañiz,44013,33.76,15939,7699
Alcorisa,44014,27.07,3276,3119
Alfambra,44016,4.33,531,1355
Aliaga,44017,1.85,358,1754
Almohaja,44018,0.62,16,243
Alobras,44019,2.01,62,546
AlpeÃ±Ã©s,44020,0.76,22,224
Allepuz,44021,1.87,126,1040
Alloza,44022,7.18,582,1773
Allueva,44023,1.55,29,216
Anadón,44024,1.09,27,355
Andorra,44025,53.99,7633,2704
Arcos de Las Salinas,44026,0.92,105,1353
Arens de Lledó,44027,6.01,206,759
Argente,44028,3.16,198,716
Ariño,44029,8.64,708,1366
Azaila,44031,1.15,94,742
BÃ¡denas,44032,0.63,20,454
BÃ¡guena,44033,12.35,311,1420
BaÃ±Ã³n,44034,2.81,153,693
Barrachina,44035,4.74,118,697
Bea,44036,1.32,31,170
Beceite,44037,5.59,541,2252
Belmonte de San JosÃ©,44038,2.58,113,817
Bello,44039,4.28,225,989
Berge,44040,5.72,244,816
Bezas,44041,2.65,70,357
Blancas,44042,1.71,125,859
Blesa,44043,1.18,95,1325
Bordón,44044,3.53,106,586
Bronchales,44045,7.50,443,950
BueÃ±a,44046,1.54,63,352
Burbáguena,44047,6.22,243,1350
Cabra de Mora,44048,1.60,55,563
Calaceite,44049,12.43,1011,2579
Calamocha,44050,13.64,4319,6017
Calanda,44051,33.03,3708,3924
Calomarde,44052,2.62,74,422
CamaÃ±as,44053,1.57,124,450
Camarena de La Sierra,44054,1.42,113,882
Camarillas,44055,1.70,86,816
Caminreal,44056,13.94,619,1349
Cantavieja,44059,5.73,714,1962
Cañada de Benatanduz,44060,1.11,39,642
La Cañada de Verich,44061,8.01,87,287
Cañada Vellida,44062,1.52,35,201
Cañizar del Olivar,44063,4.39,98,507
Cascante del Río,44064,2.19,71,574
Castejón de Tornos,44065,3.53,62,475
Castel de Cabra,44066,3.53,104,623
Castelnou,44067,4.31,160,680
Castelserás,44068,26.36,831,2177
El Castellar,44070,1.03,52,489
Castellote,44071,2.87,676,5122
Cedrillas,44074,8.56,630,957
Celadas,44075,3.94,396,876
Cella,44076,20.90,2606,2567
La Cerollera,44077,2.96,100,450
La CodoÃ±era,44080,16.40,344,1342
Corbalán,44082,1.32,109,484
Cortes de Aragón,44084,2.49,61,492
Cosa,44085,0.94,52,385
Cretas,44086,10.84,571,1562
Crivillén,44087,1.61,68,937
La Cuba,44088,6.29,41,357
Cubla,44089,1.11,54,363
Cucalón,44090,2.50,80,525
El Cuervo,44092,4.14,86,576
Cuevas de AlmudÃ©n,44093,3.40,122,243
Cuevas Labradas,44094,3.20,131,401
Ejulve,44096,1.64,180,1291
Escorihuela,44097,2.43,139,493
Escucha,44099,21.28,885,707
Estercuel,44100,3.77,210,964
Ferreruela de Huerva,44101,3.08,63,262
Fonfría,44102,1.36,28,205
Formiche Alto,44103,1.93,151,1029
Fórnoles,44105,2.30,75,742
Fortanete,44106,1.21,205,1570
Foz-Calanda,44107,6.28,238,786
La Fresneda,44108,11.22,443,1799
Frías de Albarrací­n,44109,2.28,116,665
Fuenferrada,44110,1.71,42,402
Fuentes Calientes,44111,4.03,101,243
Fuentes Claras,44112,12.48,461,1123
Fuentes de Rubielos,44113,2.92,114,895
Fuentespalda,44114,7.33,286,927
Galve,44115,2.62,161,468
Gargallo,44116,2.95,89,644
Gea de Albarracín,44117,6.59,376,1168
La Ginebrosa,44118,2.50,200,1116
Griegos,44119,4.50,143,415
Guadalaviar,44120,8.61,242,492
Gúdar,44121,1.18,72,730
Híjar,44122,10.33,1709,3330
Hinojosa de Jarque,44123,3.26,119,546
La Hoz de La Vieja,44124,1.94,85,924
Huesa del Común,44125,1.08,67,1284
La Iglesuela del Cid,44126,10.27,414,1485
Jabaloyas,44127,1.05,65,934
Jarque de La Val,44128,2.39,70,277
Jatiel,44129,3.69,40,255
Jorcas,44130,1.30,34,462
Josa,44131,1.20,34,615
Lagueruela,44132,2.96,78,252
Lanzuela,44133,1.68,24,243
Libros,44135,2.66,101,607
Lidón,44136,1.37,55,308
Linares de Mora,44137,2.14,249,1592
Loscos,44138,1.79,129,1507
Lledó,44141,11.01,172,580
Maicas,44142,1.09,27,391
Manzanera,44143,3.07,519,2750
Martín del Río,44144,7.59,417,729
Mas de Las Matas,44145,42.41,1272,1981
La Mata de Los Olmos,44146,11.16,265,458
Mazaleón,44147,6.24,539,1403
Mezquita de Jarque,44148,3.14,98,327
Mirambel,44149,2.55,116,835
Miravete de La Sierra,44150,0.95,35,486
Molinos,44151,3.05,243,1405
Monforte de Moyuela,44152,1.36,65,694
Monreal del Campo,44153,27.32,2433,2330
Monroyo,44154,4.29,340,1284
Montalbán,44155,15.15,1243,2020
Monteagudo del Castillo,44156,1.12,50,489
Monterde de Albarracín,44157,1.39,63,488
Mora de Rubielos,44158,9.27,1541,3213
Moscardón,44159,2.04,55,494
Mosqueruela,44160,2.07,551,3103
Muniesa,44161,4.64,599,1860
Noguera de Albarracín,44163,2.80,133,489
Nogueras,44164,1.32,25,359
Nogueruelas,44165,2.18,217,1156
ObÃ³n,44167,0.65,45,1257
OdÃ³n,44168,2.76,205,974
Ojos Negros,44169,4.14,377,1436
Olba,44171,10.76,226,1802
Oliete,44172,4.25,364,2146
Los Olmos,44173,2.77,122,600
Orihuela del Tremedal,44174,6.80,487,945
Orrios,44175,3.60,126,430
Palomar de Arroyos,44176,5.02,169,612
Pancrudo,44177,1.09,110,1000
Las Parras de Castellote,44178,1.25,53,1107
Peñarroya de Tastavins,44179,5.27,439,1702
Peracense,44180,2.65,76,385
Peralejos,44181,2.44,88,286
Perales del Alfambra,44182,2.12,221,817
Pitarque,44183,1.45,79,938
Plou,44184,2.49,43,529
El Pobo,44185,1.80,114,497
La Portellada,44187,11.37,243,860
Pozondón,44189,0.70,48,539
Pozuel del Campo,44190,2.44,68,598
La Puebla de Híjar,44191,53.31,908,1921
La Puebla de Valverde,44192,26.60,453,1982
Puertomingalvo,44193,1.08,112,1271
RÃ¡fales,44194,4.01,143,859
Rillo,44195,1.74,93,502
Riodeva,44196,4.19,144,716
Ródenas,44197,1.37,61,415
Royuela,44198,6.43,206,459
Rubiales,44199,1.82,50,290
Rubielos de La CÃ©rida,44200,0.57,38,501
Rubielos de Mora,44201,9.50,627,2284
Salcedillo,44203,1.00,17,155
Saldón,44204,0.91,26,435
Samper de Calanda,44205,5.51,783,2647
San Agustín,44206,2.20,125,1204
San Martín del Río,44207,27.30,148,1330
Santa Cruz de Nogueras,44208,1.89,37,346
Santa Eulalia,44209,12.80,1037,1164
Sarrión,44210,8.06,1133,2233
Segura de Los Baños,44211,0.72,39,795
Seno,44212,2.18,39,453
Singra,44213,2.17,80,399
Terriente,44215,3.81,183,1109
Teruel,44216,81.04,35691,12745
Toril y Masegoso,44217,0.97,30,366
Tormón,44218,1.05,31,303
Tornos,44219,4.35,213,578
Torralba de Los Sisones,44220,3.86,156,608
Torrecilla de Alcañiz,44221,15.80,423,1105
Torrecilla del Rebollar,44222,4.74,127,891
Torre de Arcas,44223,2.59,89,485
Torre de Las Arcas,44224,0.75,28,545
Torre del Compte,44225,6.78,132,748
Torrelacárcel,44226,4.33,154,521
Torre Los Negros,44227,3.01,88,456
Torremocha de Jiloca,44228,3.15,107,420
Torres de Albarracín,44229,6.46,183,591
Torrevelilla,44230,5.65,189,776
Torrijas,44231,0.66,38,689
Torrijo del Campo,44232,10.14,447,1308
Tramacastiel,44234,1.35,64,668
Tramacastilla,44235,4.27,106,455
Tronchón,44236,1.13,65,997
Urrea de Gaén,44237,10.60,436,1195
Utrillas,44238,74.58,2970,712
Valacloche,44239,1.39,21,219
Valbona,44240,4.27,174,675
Valdealgorfa,44241,13.25,622,1665
Valdecuenca,44243,1.87,35,320
Valdelinares,44244,1.57,87,825
Valdeltormo,44245,17.43,279,699
Valderrobres,44246,19.25,2388,3058
Valjunquera,44247,7.76,325,1225
El Vallecillo,44249,2.22,48,467
Veguillas de La Sierra,44250,1.46,20,292
Villafranca del Campo,44251,4.66,297,988
Villahermosa del Campo,44252,4.94,94,236
Villanueva del Rebollar de La Sierra,44256,0.61,47,309
Villar del Cobo,44257,3.02,164,596
Villar del Salz,44258,1.55,60,412
Villarluengo,44260,1.12,177,2128
Villarquemado,44261,15.27,862,872
Villarroya de Los Pinares,44262,1.75,160,1095
Villastar,44263,12.65,494,737
Villel,44264,3.82,327,1182
Vinaceite,44265,4.97,249,544
Visiedo,44266,2.25,125,656
Vivel del Río Martín,44267,1.54,79,946
La Zoma,44268,1.14,16,181
Abanto,50001,1.51,97,633
Acered,50002,5.50,165,745
Agón,50003,7.88,146,499
Aguarón,50004,17.23,631,2275
AguilÃ³n,50005,3.95,235,982
Ainzón,50006,26.81,1085,2061
AladrÃ©n,50007,2.46,52,353
Alagón,50008,292.89,7094,3454
Alarba,50009,7.00,133,471
Alberite de San Juan,50010,6.41,72,267
Albeta,50011,49.81,132,318
Alborge,50012,22.31,108,464
Alcalá de Ebro,50013,25.43,251,386
Alcalá de Moncayo,50014,10.46,144,370
Alconchel de Ariza,50015,1.80,63,667
Aldehuela de Liestos,50016,1.28,49,257
Alfajarín,50017,16.80,2312,910
Alfamén,50018,14.12,1441,628
Alforque,50019,5.83,62,387
Alhama de Aragón,50020,33.26,1036,1616
Almochuel,50021,0.90,29,99
La Almolda,50022,4.31,567,1246
Almonacid de La Cuba,50023,4.56,252,667
Almonacid de La Sierra,50024,12.51,691,2725
La Almunia de Doña Godina,50025,138.02,7819,3922
Alpartir,50026,17.79,579,1042
Ambel,50027,4.19,256,955
Anento,50028,4.41,95,387
AniÃ±Ã³n,50029,13.49,708,1870
Añón de Moncayo,50030,3.31,213,1106
Aranda de Moncayo,50031,1.75,160,1585
ArÃ¡ndiga,50032,6.15,309,1121
Ardisa,50033,2.63,72,484
Ariza,50034,11.04,1139,1578
Artieda,50035,5.37,73,269
AsÃ­n,50036,5.19,96,336
Atea,50037,4.49,156,1225
Ateca,50038,21.16,1793,3126
Azuara,50039,3.27,543,2388
Badules,50040,4.13,83,440
BagÃ¼Ã©s,50041,0.39,12,243
BalconchÃ¡n,50042,0.89,17,178
BÃ¡rboles,50043,19.13,300,640
Bardallur,50044,9.54,261,834
Belchite,50045,5.58,1528,3333
Belmonte de Gracián,50046,4.53,198,997
Berdejo,50047,2.42,47,363
Berrueco,50048,1.73,33,232
Bijuesca,50050,1.71,98,833
Biota,50051,7.40,948,1383
Bisimbre,50052,8.64,97,291
Boquiñeni,50053,42.81,808,920
Bordalba,50054,1.34,56,520
Borja,50055,45.87,4922,5667
Botorrita,50056,25.13,498,351
Brea de Aragón,50057,124.43,1665,1467
Bubierca,50058,2.13,63,914
Bujaraloz,50059,8.31,1005,1510
Bulbuente,50060,8.52,217,1052
Bureta,50061,18.21,217,685
El Burgo de Ebro,50062,97.82,2432,903
El Buste,50063,9.46,72,428
Cabañas de Ebro,50064,58.38,498,493
Cabolafuente,50065,0.81,32,474
Cadrete,50066,328.07,3891,647
Calatayud,50067,129.88,20035,11958
Calatorao,50068,59.41,2861,2300
Calcena,50069,1.15,75,854
Calmarza,50070,2.09,59,343
Campillo de Aragón,50071,4.04,149,701
Carenas,50072,5.66,177,1181
Cariñena,50073,39.70,3276,3313
Caspe,50074,18.93,9525,7808
Castejón de Alarba,50075,5.23,92,294
CastejÃ³n de Las Armas,50076,5.12,90,750
Castejón de Valdejasa,50077,12.58,221,1095
Castiliscar,50078,6.51,265,823
Cervera de La Cañada,50079,9.27,271,904
Cerveruela,50080,1.48,35,443
Cetina,50081,7.51,592,1312
Cimballa,50082,2.91,93,512
Cinco Olivas,50083,49.77,112,570
Clarés de Ribota,50084,3.61,65,444
Codo,50085,17.42,198,1026
Codos,50086,2.91,183,1122
Contamina,50087,2.63,37,169
Cosuenda,50088,11.58,367,1304
Cuarte de Huerva,50089,1458.65,13055,275
Cubel,50090,2.86,168,505
Las Cuerlas,50091,1.19,39,316
Chiprana,50092,13.03,508,1425
Chodes,50093,7.07,113,483
Daroca,50094,38.34,1996,3493
Ejea de Los Caballeros,50095,27.22,16605,5271
Embid de Ariza,50096,0.87,36,498
Encinacorba,50098,5.14,189,1020
Épila,50099,22.65,4402,3713
Erla,50100,18.19,345,911
Escatrón,50101,10.84,1026,2374
Fabara,50102,11.33,1152,2089
Farlete,50104,3.70,386,524
FayÃ³n,50105,5.26,354,1306
Los Fayos,50106,36.34,141,521
Figueruelas,50107,72.98,1240,367
Fombuena,50108,2.04,54,226
El Frago,50109,2.93,99,561
El Frasno,50110,7.89,384,1551
FrÃ©scano,50111,10.97,202,505
Fuendejalón,50113,10.45,793,1354
Fuendetodos,50114,1.95,121,540
Fuentes de Ebro,50115,32.05,4543,2498
Fuentes de Jiloca,50116,8.37,229,1099
Gallocanta,50117,5.18,154,363
Gallur,50118,63.00,2628,2847
Gelsa,50119,13.81,995,2096
Godojos,50120,3.22,54,432
Gotor,50121,19.71,306,874
Grisel,50122,4.61,67,497
Grisén,50123,125.68,597,360
Herrera de Los Navarros,50124,4.81,506,1873
Ibdes,50125,7.17,404,1251
Illueca,50126,119.22,2964,1823
Isuerre,50128,1.54,31,347
Jaraba,50129,6.54,280,491
Jarque,50130,10.13,436,1472
JaulÃ­n,50131,5.14,237,361
La Joyosa,50132,164.41,1072,264
Lagata,50133,4.69,111,503
Langa del Castillo,50134,2.63,132,599
Layana,50135,27.10,100,343
Lécera,50136,6.06,661,1997
Leciñena,50137,6.50,1162,1576
Lechón,50138,3.03,53,157
Letux,50139,11.34,342,1074
Litago,50140,11.06,166,634
Lituénigo,50141,11.15,127,363
Lobera de Onsella,50142,0.87,28,496
Longares,50143,16.60,763,1306
Longás,50144,0.71,35,469
Lucena de JalÃ³n,50146,22.98,237,469
Luceni,50147,34.89,945,796
Luesia,50148,2.44,310,1573
Luesma,50149,1.17,34,331
Lumpiaque,50150,27.98,827,1431
Luna,50151,2.26,701,1761
Maella,50152,11.47,2007,3325
Magallón,50153,14.41,1133,2822
Mainar,50154,4.43,151,471
Malanquilla,50155,2.73,100,427
Maleján,50156,3237.50,259,535
MalÃ³n,50157,57.06,323,1230
Maluenda,50159,23.49,942,1400
Mallén,50160,82.38,3083,2401
Manchones,50161,3.65,98,672
Mara,50162,8.58,181,706
María de Huerva,50163,52.39,5663,581
Mediana de Aragón,50164,5.13,465,1416
Mequinenza,50165,7.48,2301,2842
Mesones de Isuela,50166,5.58,271,613
Mezalocha,50167,3.95,240,510
Mianos,50168,2.15,32,221
Miedes de Aragón,50169,7.80,432,916
Monegrillo,50170,2.25,413,824
Moneva,50171,1.54,94,636
Monreal de Ariza,50172,3.41,212,680
Monterde,50173,2.84,159,932
MontÃ³n,50174,5.34,94,499
Morata de Jalón,50175,23.91,1097,2161
Morata de Jiloca,50176,12.21,282,897
MorÃ©s,50177,15.56,334,1168
Moros,50178,6.83,362,1209
Moyuela,50179,5.72,245,952
Mozota,50180,14.97,130,378
Muel,50181,16.83,1333,1228
La Muela,50182,38.18,5479,729
Munébrega,50183,9.39,385,1300
Murero,50184,5.86,107,519
Murillo de Gállego,50185,3.18,174,1159
Navardún,50186,1.66,40,413
NigÃ¼ella,50187,2.16,66,270
Nombrevilla,50188,1.65,29,262
Nonaspe,50189,8.63,962,1681
Novallas,50190,77.27,850,1527
Novillas,50191,21.36,540,908
Nuévalos,50192,7.76,325,902
Nuez de Ebro,50193,100.73,827,455
Olvés,50194,5.25,106,674
Orcajo,50195,2.07,59,495
Orera,50196,5.95,118,411
Orés,50197,1.90,104,734
Oseja,50198,4.33,52,346
Osera de Ebro,50199,16.08,395,497
Paniza,50200,13.40,634,1820
Paracuellos de Jiloca,50201,18.78,601,712
Paracuellos de La Ribera,50202,4.93,158,908
Pastriz,50203,78.26,1293,707
Pedrola,50204,30.85,3509,2269
Las Pedrosas,50205,4.92,90,390
Perdiguera,50206,5.25,577,725
Piedratajada,50207,4.28,97,300
Pina de Ebro,50208,7.67,2373,2409
Pinseque,50209,242.88,3908,750
Los Pintanos,50210,0.46,37,773
Plasencia de JalÃ³n,50211,8.71,303,875
Pleitas,50212,16.82,36,154
Plenas,50213,2.66,101,681
Pomer,50214,0.66,22,474
Pozuel de Ariza,50215,0.92,21,287
Pozuelo de Aragón,50216,8.84,284,710
Pradilla de Ebro,50217,22.55,574,688
Puebla de Albortón,50218,1.57,120,631
La Puebla de Alfindén,50219,362.47,6173,985
Puendeluna,50220,4.45,44,228
Purujosa,50221,1.01,36,463
Quinto,50222,16.47,1948,2521
Remolinos,50223,58.40,1081,1019
Retascón,50224,2.94,74,180
Ricla,50225,31.04,2815,2503
Romanos,50227,6.09,119,321
Rueda de Jalón,50228,3.02,325,896
Ruesca,50229,6.19,72,163
Sádaba,50230,10.21,1324,1812
Salillas de Jalón,50231,121.11,304,583
Salvatierra de Esca,50232,2.43,198,1196
Samper del Salz,50233,9.74,112,404
San Martín de La Virgen de Moncayo,50234,52.76,286,385
San Mateo de Gállego,50235,43.75,3134,960
Santa Cruz de GrÃ­o,50236,5.53,108,929
Santa Cruz de Moncayo,50237,6.40,125,318
Santa Eulalia de Gállego,50238,1.21,98,924
Santed,50239,3.42,61,290
Sástago,50240,3.88,1170,2987
Saviñan,50241,44.52,691,1759
Sediles,50242,8.11,95,311
Sestrica,50243,9.05,370,1298
Sierra de Luna,50244,5.83,253,651
Sigüés,50245,0.86,88,1638
Sisamón,50246,0.74,31,457
Sobradiel,50247,90.29,1089,421
Sos del Rey Católico,50248,2.71,588,3596
Tabuenca,50249,3.76,323,1379
Talamantes,50250,1.34,63,471
Tarazona,50251,43.06,10509,8939
Tauste,50252,17.06,6914,4530
Terrer,50253,14.37,485,975
Tierga,50254,2.90,192,682
Tobed,50255,6.60,214,1002
Torralba de Los Frailes,50256,2.12,86,530
Torralba de Ribota,50257,4.25,172,654
Torralbilla,50258,2.35,61,393
Torrehermosa,50259,2.98,63,258
Torrelapaja,50260,2.04,32,310
Torrellas,50261,98.81,250,860
Torres de Berrellén,50262,26.87,1446,1136
Torrijo de La Cañada,50263,2.76,206,2007
Tosos,50264,2.62,180,841
Trasmoz,50265,4.87,89,341
Trasobares,50266,1.67,120,531
Uncastillo,50267,2.81,650,2758
Undués de Lerda,50268,1.27,55,485
Urrea de JalÃ³n,50269,16.30,418,801
Urriés,50270,1.01,38,1111
Used,50271,3.17,271,1432
Utebo,50272,1049.77,18602,1382
Valdehorna,50273,3.77,30,236
Val de San MartÃ­n,50274,2.49,64,345
Valmadrid,50275,2.21,112,202
Valpalmas,50276,3.56,142,415
Valtorres,50277,20.66,68,293
Velilla de Ebro,50278,3.59,215,1027
Velilla de Jiloca,50279,9.00,90,486
Vera de Moncayo,50280,13.01,360,1329
Vierlas,50281,27.71,74,230
La VilueÃ±a,50282,8.94,77,401
Villadoz,50283,5.12,88,266
Villafeliche,50284,7.72,170,1374
Villafranca de Ebro,50285,13.04,830,663
Villalba de Perejil,50286,7.42,99,266
Villalengua,50287,7.94,319,1384
Villanueva de Gállego,50288,61.33,4661,1281
Villanueva de Jiloca,50289,0.60,46,545
Villanueva de Huerva,50290,6.09,463,922
Villar de Los Navarros,50291,2.08,102,984
Villarreal de Huerva,50292,10.09,274,469
Villarroya de La Sierra,50293,5.12,466,2405
Villarroya del Campo,50294,0.74,68,229
Vistabella,50295,2.24,49,495
La Zaida,50296,26.34,455,446
Zaragoza,50297,684.83,666880,98397
Zuera,50298,25.17,8365,2471
Biel,50901,1.07,140,1659
Marracos,50902,5.08,86,154
Villamayor de Gállego,50903,30.17,2696,1894
